original_category,original_subcategory,new_category
aeroway,terminal,other
amenity,Food_Court_-_Forum_Mall,economic
amenity,animal_boarding,economic
amenity,animal_breeding,economic
amenity,animal_shelter,social
amenity,apartment,social
amenity,arts_centre,social
amenity,atm,economic
amenity,atm;bank,economic
amenity,bank,economic
amenity,bank;atm,economic
amenity,bar,economic
amenity,bbq,economic
amenity,bench,other
amenity,bicycle_parking,other
amenity,bicycle_rental,economic
amenity,bicycle_repair_station,economic
amenity,bicycle_wash,economic
amenity,boat_rental,economic
amenity,boat_storage,economic
amenity,building,other
amenity,bureau_de_change,economic
amenity,bus_station,other
amenity,cafe,economic
amenity,car_rental,economic
amenity,car_sharing,economic
amenity,car_wash,economic
amenity,casino,economic
amenity,chair,other
amenity,charging_station,other
amenity,childcare,social
amenity,cinema,social
amenity,clinic,social
amenity,college,social
amenity,community_centre,social
amenity,conference_centre,social
amenity,courthouse,social
amenity,dancing_school,social
amenity,dentist,social
amenity,doctors,social
amenity,dojo,social
amenity,drinking_water,other
amenity,driver_training,social
amenity,driving_school,social
amenity,events_venue,social
amenity,exhibition_centre,social
amenity,fast_food,economic
amenity,ferry_terminal,other
amenity,fire_station,social
amenity,flight_school,social
amenity,food_court,economic
amenity,fountain,other
amenity,fuel,economic
amenity,funeral_hall,social
amenity,gambling,economic
amenity,give_box,social
amenity,government,social
amenity,grave_yard,social
amenity,ground,social
amenity,hookah_lounge,economic
amenity,hospital,social
amenity,hunting_stand,other
amenity,ice_cream,economic
amenity,internet_cafe,economic
amenity,kindergarten,social
amenity,language_school,social
amenity,library,social
amenity,luggage_locker,other
amenity,marketplace,economic
amenity,monastery,social
amenity,money_transfer,economic
amenity,mortuary,social
amenity,motorcycle_parking,other
amenity,motorcycle_rental,economic
amenity,music_school,social
amenity,nightclub,economic
amenity,office,other
amenity,parcel_locker,other
amenity,parking,other
amenity,parking_entrance,other
amenity,parking_space,other
amenity,payment_terminal,economic
amenity,pharmacy,social
amenity,photo_booth,economic
amenity,place_of_worship,social
amenity,planetarium,social
amenity,police,social
amenity,post_depot,other
amenity,post_office,social
amenity,prep_school,social
amenity,prison,social
amenity,pub,economic
amenity,public_bath,social
amenity,public_bookcase,social
amenity,public_building,social
amenity,ranger_station,social
amenity,recycling,social
amenity,research_institute,social
amenity,restaurant,economic
amenity,school,social
amenity,shelter,social
amenity,shop,economic
amenity,shower,other
amenity,smoking_area,other
amenity,social_centre,social
amenity,social_facility,social
amenity,studio,economic
amenity,table,other
amenity,taxi,other
amenity,telephone,other
amenity,theatre,social
amenity,toilets,other
amenity,townhall,social
amenity,university,social
amenity,vehicle_inspection,other
amenity,vending_machine,economic
amenity,veterinary,social
amenity,waste_basket,other
amenity,waste_disposal,other
amenity,waste_transfer_station,other
amenity,water_point,other
amenity,watering_place,other
amenity,weighbridge,other
craft,agricultural_engines,economic
craft,basket_maker,economic
craft,blacksmith,economic
craft,boatbuilder,economic
craft,bookbinder,economic
craft,carpenter,economic
craft,caterer,economic
craft,cleaning,economic
craft,clockmaker,economic
craft,confectionery,economic
craft,dressmaker,economic
craft,electrician,economic
craft,electronics_repair,economic
craft,gardener,economic
craft,handicraft,economic
craft,metal_construction,economic
craft,painter,economic
craft,photographer,economic
craft,plasterer,economic
craft,plumber,economic
craft,shoemaker,economic
craft,signmaker,economic
craft,upholsterer,economic
craft,watchmaker,economic
craft,window_construction,economic
craft,winery,economic
craft,yes,other
landuse,grass,other
landuse,industrial,economic
landuse,recreation_ground,social
leisure,FB area block 6,other
leisure,adult_gaming_centre,social
leisure,amusement_arcade,social
leisure,beach_resort,economic
leisure,bird_hide,social
leisure,bleachers,social
leisure,bowling_alley,social
leisure,common,social
leisure,fishing,social
leisure,fitness_centre,social
leisure,fitness_station,social
leisure,garden,social
leisure,golf_course,social
leisure,ice_rink,social
leisure,indoor_play,social
leisure,marina,social
leisure,nature_reserve,social
leisure,outdoor_seating,social
leisure,park,social
leisure,pitch,social
leisure,playground,social
leisure,recreation_ground,social
leisure,resort,economic
leisure,slipway,other
leisure,snooker,social
leisure,sports_centre,social
leisure,sports_hall,social
leisure,stadium,social
leisure,swimming_pool,social
leisure,track,social
leisure,water_park,social
leisure,yes,other
man_made,container_terminal,other
man_made,water_works,other
man_made,works,economic
office,Society Office,social
office,accountant,economic
office,administrative,social
office,adoption_agency,social
office,advertising_agency,economic
office,architect,economic
office,artistic_handicrafts,economic
office,association,social
office,association/organization,social
office,association_/_organization,social
office,association_and_organisation,social
office,automation_company,economic
office,beauty_salon,economic
office,biotechnology_engineer,economic
office,bureau_de_change,economic
office,business_center,economic
office,business_development_service,economic
office,business_networking_company,economic
office,cable,economic
office,call_center,economic
office,charity,social
office,chauffeur_service,economic
office,chemical_manufacturer,economic
office,chemicals,economic
office,chirty,social
office,clothing_alteration_service,economic
office,clothing_supplier,economic
office,commercial_printer,economic
office,company,economic
office,computer_support_and_service,economic
office,construction_company,economic
office,consulting,economic
office,contactor,economic
office,cosmetics,economic
office,courier,economic
office,courier_service,economic
office,coworking,economic
office,custom_label_printer,economic
office,customer_care_center,economic
office,daewoo_express,economic
office,data_recovery_service,economic
office,digital_printing_service,economic
office,diplomatic,social
office,distribution,economic
office,distribution_service,economic
office,e-commerce,economic
office,e-commerce_agency,economic
office,e-commerce_service,economic
office,e_commerce_agency,economic
office,education,social
office,educational_institution,social
office,electric_utility_company,economic
office,electrical_equipment_supplier,economic
office,electronic_engineering_service,economic
office,elevator_manufacturer,economic
office,employment_agency,economic
office,energy_supplier,economic
office,engineer,economic
office,engineering_consultant,economic
office,environmental_health_service,social
office,estate_agent,economic
office,event_managememt_company,economic
office,event_management_company,economic
office,event_planer,economic
office,event_planner,economic
office,financial,economic
office,financial_advisor,economic
office,food_processing_company,economic
office,forestry,social
office,foundation,social
office,furniture,economic
office,garment_exporter,economic
office,general_contractor,economic
office,government,social
office,graphic_design,economic
office,graphic_designer,economic
office,graphics_design,economic
office,guide,economic
office,home_builder,economic
office,hvac_contactor,economic
office,hvac_contractor,economic
office,import_export_company,economic
office,industrial,economic
office,industrial_consultant,economic
office,industrial_equipment_supplier,economic
office,insurance,economic
office,interior_architec_offic,economic
office,interior_construction_contactor,economic
office,internet_service_provider,economic
office,internet_service_providor,economic
office,it,economic
office,lamination_service,economic
office,lawyer,economic
office,life_insurance_agency,economic
office,logistics,economic
office,logistics_service,economic
office,machining_manufacturer,economic
office,manufacturer,economic
office,marketing_agency,economic
office,marketing_consultant,economic
office,media_company,economic
office,media_house,economic
office,medical,social
office,mehndi_designer,economic
office,mineral_water_company,economic
office,moving_company,economic
office,newspaper,economic
office,ngo,social
office,non-governmental_organization,social
office,notary,economic
office,office_equipment_repair_service,economic
office,office_furniture_store,economic
office,"office_no:_58,_near_al-habib_bank_yahya_pride,_block_13d-2_block_13_d_2_gulshan-e-iqbal,_karachi,",other
office,packaging_company,economic
office,packaging_machinery,economic
office,personal_service,economic
office,pharmaceutical_company,economic
office,police,social
office,political_party,social
office,powder_coating_service,economic
office,private_investigator,economic
office,property_management,economic
office,pwd_office,social
office,quango,social
office,railway_services,economic
office,real_estate_professionals_association,economic
office,recruiter,economic
office,religion,social
office,research,social
office,rizviz_global_services_(smc)_pvt_company,economic
office,scaffolding_rental_service,economic
office,security,economic
office,social_security_office,social
office,social_services_organization,social
office,softare_company,economic
office,software,economic
office,software_company,economic
office,software_compnay,economic
office,software_house,economic
office,solar_energy_and_generation,economic
office,tax_advisor,economic
office,telecommunication,economic
office,telecommunications_service_provider,economic
office,tent_rental_service,economic
office,textile_exporter,economic
office,transporation_service,economic
office,travel_agent,economic
office,union,social
office,union_council_uc-4_|_tmc_gulshan-e-iqbal,social
office,"w3fp+wgq,_opp._nasir_hussain_shaheed_park,_block_2_gulshan-e-iqbal,_karachi,_karachi_city,_sindh,_pakistan",other
office,water_treament_plant,other
office,water_treatment_plant,other
office,water_utility,other
office,waterproofing_service,economic
office,web_designer,economic
office,website_designer,economic
office,yes,other
public_transport,platform,other
public_transport,station,other
public_transport,stop_position,other
railway,container_terminal,other
railway,halt,other
railway,platform,other
railway,station,other
railway,stop,other
shop,Caps,economic
shop,Chicken,economic
shop,Construction,economic
shop,_glass_house,economic
shop,agrarian,economic
shop,air_compressor_repair_service,economic
shop,aluminum_welder,economic
shop,animal_feed_store,economic
shop,animals_feed_store,economic
shop,animals_foods,economic
shop,appliance,economic
shop,art,economic
shop,as_&_oil_shop,economic
shop,auto/bike_parts,economic
shop,auto_auction,economic
shop,auto_insurance_agency,economic
shop,auto_spring_shop,economic
shop,baby_goods,economic
shop,bag,economic
shop,bakery,economic
shop,bathroom_furnishing,economic
shop,battery,economic
shop,battery_store,economic
shop,beauty,economic
shop,bed,economic
shop,beverages,economic
shop,bicycle,economic
shop,biomedical_star_enterprises_medical_equipment_supplier,economic
shop,bird_shop,economic
shop,bisma_marble_industrial_chemicals_wholesaler,economic
shop,bookmaker,economic
shop,books,economic
shop,boutique,economic
shop,brewing_supplies,economic
shop,building_materials,economic
shop,building_materials_store,economic
shop,butcher,economic
shop,camera,economic
shop,candles,economic
shop,cannabis,economic
shop,car,economic
shop,car_battery_store,economic
shop,car_parts,economic
shop,car_parts;tailor,economic
shop,car_repair,economic
shop,caravan,economic
shop,carpet,economic
shop,catalogue,economic
shop,cell_phone_store,economic
shop,cell_phones,economic
shop,cement_shop,economic
shop,cement_supplier,economic
shop,ceramics_wholesaler,economic
shop,charity,social
shop,chemical,economic
shop,chemist,economic
shop,chicken_shop,economic
shop,chocolate,economic
shop,clothes,economic
shop,coffee,economic
shop,commercial_printer,economic
shop,computer,economic
shop,confectionery,economic
shop,convenience,economic
shop,copyshop,economic
shop,cosmetics,economic
shop,cotton_supplier,economic
shop,country_store,economic
shop,craft,economic
shop,crockery_&_plastic_store,economic
shop,crockery_and_electronics_store,economic
shop,curtain,economic
shop,dairy,economic
shop,department_store,economic
shop,dessert_shop,economic
shop,dilshad_elahi,economic
shop,disposable_tableware_supplier,economic
shop,doityourself,economic
shop,doors,economic
shop,dry_cleaning,economic
shop,dry_fruit_store,economic
shop,dye_store,economic
shop,dye_stroe,economic
shop,e-cigarette,economic
shop,electrical,economic
shop,electronics,economic
shop,erotic,economic
shop,establishment,economic
shop,exercise_equipment_store,economic
shop,exporter,economic
shop,fabric,economic
shop,farm,economic
shop,fashion,economic
shop,fashion_accessories,economic
shop,faysal_eye_optics,economic
shop,fire_protection_equipment_supplier,economic
shop,fishing,economic
shop,fitness_equipment_wholesaler,economic
shop,flooring,economic
shop,florist,economic
shop,flour_mill,economic
shop,frame,economic
shop,frozen_food,economic
shop,fuel,economic
shop,funeral_directors,economic
shop,furniture,economic
shop,games,economic
shop,garden_centre,economic
shop,gas,economic
shop,general,economic
shop,general_store,economic
shop,gift,economic
shop,glass_and_mirror,economic
shop,glass_and_mirror_shop,economic
shop,greengrocer,economic
shop,grocery,economic
shop,hairdresser,economic
shop,hairdresser_supply,economic
shop,hardware,economic
shop,health_food,economic
shop,hearing_aids,economic
shop,herbalist,economic
shop,hifi,economic
shop,home_goods_store,economic
shop,honey,economic
shop,household_linen,economic
shop,houseware,economic
shop,hvac_contactor,economic
shop,ice_supplier,economic
shop,interior_decoration,economic
shop,iron_work,economic
shop,jewelry,economic
shop,juice,economic
shop,kiosk,economic
shop,kitchen,economic
shop,kitchen_supply_store,economic
shop,laser_cutting_service,economic
shop,laundry,economic
shop,leather,economic
shop,lighting,economic
shop,locksmith,economic
shop,lodging,economic
shop,lottery,economic
shop,mall,economic
shop,manufactured,economic
shop,manufacturer,economic
shop,martial_arts_club,economic
shop,massage,economic
shop,medical_supply,economic
shop,metal_workshop,economic
shop,metel_workshop,economic
shop,mineral_water_company,economic
shop,mineral_water_wholesaler,economic
shop,mobile_accessories,economic
shop,mobile_home_supply_store,economic
shop,mobile_phone,economic
shop,mobile_phone_accessories,economic
shop,mobile_shop,economic
shop,model,economic
shop,money_lender,economic
shop,motorcycle,economic
shop,motorcycle_parts,economic
shop,motorcycle_repair,economic
shop,motorcycle_repair;supermarket,economic
shop,music,economic
shop,musical_instrument,economic
shop,naan_house,economic
shop,neon_lights,economic
shop,newsagent,economic
shop,nimco,economic
shop,nutrition_supplements,economic
shop,nuts,economic
shop,office_supplies,economic
shop,oil_change_service,economic
shop,oil_shop,economic
shop,oil_store,economic
shop,optician,economic
shop,optics,economic
shop,organic_food_store,economic
shop,orient_ceramics,economic
shop,outdoor,economic
shop,outpost,economic
shop,oxygen_equipment_supplier,economic
shop,paan_and_cold_drink_shop,economic
shop,paan_shop,economic
shop,packaging_supply_store,economic
shop,paint,economic
shop,pan,economic
shop,pan_shop,economic
shop,paper_bag_supplier,economic
shop,paper_bags_supplier,economic
shop,paper_distributor,economic
shop,party,economic
shop,pastry,economic
shop,pawnbroker,economic
shop,perfumery,economic
shop,pest_control_service,economic
shop,pet,economic
shop,pet_grooming,economic
shop,photo,economic
shop,photo_studio,economic
shop,plactic_bags_shop,economic
shop,plastic,economic
shop,plastic_bags_wholesaler,economic
shop,plastic_injection_molding_service,economic
shop,polythene_and_plastic_sheeting_supplier,economic
shop,pottery,economic
shop,print_shop,economic
shop,printer_ink,economic
shop,printing,economic
shop,printing_equipment_and_supplies,economic
shop,printing_equipment_supplier,economic
shop,pump_supplier,economic
shop,pyrotechnics,economic
shop,rawaid_menral_water_supply_mineral_water_wholesaler,economic
shop,religion,social
shop,rental,economic
shop,repair,economic
shop,rice,economic
shop,rubber_products_supplier,economic
shop,saleem_iron_work,economic
shop,sandblasting_service,economic
shop,sanitary_inspection,economic
shop,scrap_metal_dealer,economic
shop,screen_printer,economic
shop,seafood,economic
shop,sewing,economic
shop,sharpening_service,economic
shop,shoe_repair,economic
shop,shoes,economic
shop,shoes;fashion_accessories,economic
shop,sign_shop,economic
shop,solar_panel_compnay,economic
shop,souvenir,economic
shop,spices,economic
shop,sports,economic
shop,spring_supperlier,economic
shop,stamp_shop,economic
shop,stationery,economic
shop,steel_distributor,economic
shop,steel_fabricator,economic
shop,steel_shop,economic
shop,storage_rental,economic
shop,stores_and_shopping,economic
shop,supermarket,economic
shop,sweets,economic
shop,swimming_pool,economic
shop,tailor,economic
shop,tattoo,economic
shop,tea,economic
shop,telecommunication,economic
shop,ticket,economic
shop,tiles,economic
shop,tobacco,economic
shop,tool_hire,economic
shop,toys,economic
shop,trade,economic
