validation,feature_set,target_mode,fold,spatial_block,n_train,n_test,n_features,R2,RMSE,MAE,train_R2,inner_best_R2_fit_scale,best_params,cnn_source,selected_pca_variance,n_pca_components
random_5fold,Remote sensing only,raw,1,,1677.0,420.0,19,0.5407759208625609,130.4114308923262,78.27162332980731,0.7801284796931877,0.5118590179593357,"{""colsample_bytree"": 1.0, ""gamma"": 0.25, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 10, ""subsample"": 0.6}",,,
random_5fold,Remote sensing only,raw,2,,1677.0,420.0,19,0.5900317387527084,133.34818482293937,85.31480161342463,0.8330961716299803,0.5036694122042071,"{""colsample_bytree"": 0.5, ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.6}",,,
random_5fold,Remote sensing only,raw,3,,1678.0,419.0,19,0.4154974299584837,179.67385314450624,89.47241044779258,0.8170437365919838,0.5569378725214964,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 3, ""subsample"": 0.75}",,,
random_5fold,Remote sensing only,raw,4,,1678.0,419.0,19,0.5766207348532213,149.93043632417823,88.40583809720009,0.810132927538542,0.503349531464704,"{""colsample_bytree"": 0.9, ""gamma"": 0.05, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 1200, ""reg_alpha"": 1, ""reg_lambda"": 10, ""subsample"": 0.6}",,,
random_5fold,Remote sensing only,raw,5,,1678.0,419.0,19,0.5157261316123936,155.30868065799882,91.70707881668616,0.7145444131531046,0.515545553526975,"{""colsample_bytree"": 0.9, ""gamma"": 0.05, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 10, ""subsample"": 0.9}",,,
random_5fold,Urban spatial only,raw,1,,1677.0,420.0,17,0.6486892581336716,114.06411854027847,71.74423009681716,0.9065825426810045,0.5482937243055428,"{""colsample_bytree"": 0.7, ""gamma"": 0.25, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 1.0}",,,
random_5fold,Urban spatial only,raw,2,,1677.0,420.0,17,0.622951068107606,127.88242048236917,79.36485131147737,0.8446066851215215,0.56991317715596,"{""colsample_bytree"": 0.5, ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.6}",,,
random_5fold,Urban spatial only,raw,3,,1678.0,419.0,17,0.46041762595567415,172.63169956576377,85.54515551208341,0.8290350154993847,0.6106771027774083,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 3, ""subsample"": 0.75}",,,
random_5fold,Urban spatial only,raw,4,,1678.0,419.0,17,0.6053757335376715,144.74944468792944,83.81318921647053,0.8312199135499517,0.5388060621423886,"{""colsample_bytree"": 0.7, ""gamma"": 0.25, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1, ""reg_lambda"": 20, ""subsample"": 0.9}",,,
random_5fold,Urban spatial only,raw,5,,1678.0,419.0,17,0.6128562119005301,138.86294148103235,83.52495017456866,0.8743259095066807,0.5908990562994151,"{""colsample_bytree"": 1.0, ""gamma"": 0.05, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0, ""reg_lambda"": 20, ""subsample"": 0.9}",,,
