variable,missing_n,missing_pct,unique_n,zero_n,zero_pct,min,max,constant_flag
elec_consumption,0,0.0,2097,0,0.0,1.2222222,2605.0725,False
area_m2,0,0.0,53,0,0.0,15734.958556534282,250000.0,False
B02_mean,0,0.0,2096,0,0.0,1287.5736,4055.9272,False
B02_std,0,0.0,2097,0,0.0,90.1903130088814,1608.5877202467511,False
B02_max,0,0.0,1103,0,0.0,2308.0,25760.0,False
B03_mean,0,0.0,2097,0,0.0,1641.9368,4701.7192,False
B03_std,0,0.0,2097,0,0.0,102.5690590039706,1724.525661704064,False
B03_max,0,0.0,1088,0,0.0,2870.0,23105.0,False
B04_mean,0,0.0,2097,0,0.0,1610.1980792316926,5234.8148,False
B04_std,0,0.0,2097,0,0.0,119.10535307936416,1871.0477432736557,False
B04_max,0,0.0,1014,0,0.0,3294.0,21073.0,False
B08_mean,0,0.0,2097,0,0.0,1693.0264,5841.378,False
B08_std,0,0.0,2097,0,0.0,119.65237898111346,1736.5676461099922,False
B08_max,0,0.0,864,0,0.0,3482.0,12416.0,False
B11_mean,0,0.0,2095,0,0.0,1721.92,5186.512,False
B11_std,0,0.0,2097,0,0.0,81.68131076715161,1202.4214258679192,False
B11_max,0,0.0,1398,0,0.0,3276.0,15357.0,False
NDVI,0,0.0,2097,0,0.0,-0.0133551056183062,0.4826208135080923,False
NDBI,0,0.0,2097,0,0.0,-0.1587843259235948,0.1090374664513289,False
brightness,0,0.0,2096,0,0.0,1676.9826999999998,4956.7221,False
NTL_mean,11,0.5245588936576061,2086,0,0.0,3.393256902694702,118.1239013671875,False
NTL_std,11,0.5245588936576061,521,1566,74.67811158798283,0.0,13.815947780471353,False
NTL_max,11,0.5245588936576061,2086,0,0.0,3.664813995361328,129.32833862304688,False
dist_major_road,0,0.0,2097,0,0.0,0.0890864130604087,2026.1039369161908,False
road_length_total,0,0.0,2097,0,0.0,30.41324576418068,17760.666951271054,False
road_count,0,0.0,141,0,0.0,1.0,278.0,False
road_length_major,0,0.0,1329,769,36.671435383881736,0.0,6594.0485106687065,False
road_density,0,0.0,2097,0,0.0,0.1216529830567227,71.04266780508422,False
major_road_ratio,0,0.0,1329,769,36.671435383881736,0.0,0.92799792491194,False
poi_economic_count,0,0.0,133,824,39.294229852169764,0.0,407.0,False
poi_social_count,0,0.0,58,584,27.849308536003814,0.0,75.0,False
poi_other_count,0,0.0,39,1308,62.374821173104436,0.0,114.0,False
poi_total_count,0,0.0,172,441,21.030042918454935,0.0,578.0,False
poi_shannon,0,0.0,638,888,42.34620886981402,0.0,1.0986122886681096,False
dist_economic_poi,0,0.0,2097,0,0.0,1.8595065511225624,2741.988731032912,False
dist_social_poi,0,0.0,2097,0,0.0,3.2509995882405462,1914.821424417807,False
pop_total,0,0.0,2096,2,0.09537434430138292,0.0,22559.54296875,False
pop_density_km2,0,0.0,2096,2,0.09537434430138292,0.0,90238.171875,False
building_count,0,0.0,1345,1,0.04768717215069146,0.0,3418.0,False
building_area_total,0,0.0,2097,1,0.04768717215069146,0.0,176732.8014,False
building_area_mean,0,0.0,2097,1,0.04768717215069146,0.0,731.2502415525115,False
building_area_std,0,0.0,2097,1,0.04768717215069146,0.0,2918.087876702316,False
building_coverage,0,0.0,2097,1,0.04768717215069146,0.0,0.7069312055999972,False
