grid_size_m,validation,model,n_folds,n_samples,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,train_R2_mean
250,random_5fold,ElasticNet,5,6901,0.43783160752972733,0.028946868318708432,170.05940345238812,8.909021880674356,111.5789015004923,2.938749536254657,0.44920871595311185
250,random_5fold,RandomForest,5,6901,0.6299188684148815,0.023829461771624212,137.91008582198077,6.791111557935739,78.48778149757099,2.7819171169846615,0.949488028227759
250,random_5fold,XGBoost,5,6901,0.6444614518917964,0.020492293265909355,135.19787521923,6.596157460958932,77.17863145188355,2.088876404717839,0.9492663681195757
250,spatial_kmeans_leave_one_out,ElasticNet,4,6901,-0.501453499271398,0.5547438897979656,190.84581829218422,84.52363851666767,137.43372917412486,49.45510778307697,0.45228861491530137
250,spatial_kmeans_leave_one_out,RandomForest,4,6901,0.09260072085056104,0.3258590974858115,154.7358197184195,78.77891268218625,101.41696561491851,49.37846670027955,0.946503330972951
250,spatial_kmeans_leave_one_out,XGBoost,4,6901,0.0402223021416363,0.4428314115554263,154.7967160080454,74.42743954596476,98.4708404357804,46.70340854572592,0.9465183250183594
500,random_5fold,ElasticNet,5,2097,0.41846364011166093,0.057538378789369335,166.4066435486435,18.96333701184523,103.86739991390564,4.801716308991346,0.48729292729196094
500,random_5fold,RandomForest,5,2097,0.612139183069368,0.08782753601471474,135.86194292959527,24.495061648446153,74.09225005723698,5.701622161089944,0.945703365860299
500,random_5fold,XGBoost,5,2097,0.5887710325404943,0.10699702035585999,139.60264726982578,26.54308677754974,73.2657655404548,5.028602267623321,0.9919365419631235
500,spatial_kmeans_leave_one_out,ElasticNet,4,2097,-0.43984409638822286,0.5708748976137706,179.14628770959433,88.81059338159544,127.94452047859193,53.46100111324054,0.48002845787491566
500,spatial_kmeans_leave_one_out,RandomForest,4,2097,0.11302926684403733,0.4014438348858224,148.3308910764614,86.92923711595847,98.83115841419824,55.27571895920015,0.9438291153542209
500,spatial_kmeans_leave_one_out,XGBoost,4,2097,0.1054146798884901,0.4160282125658153,147.7159638049991,83.9093254031586,95.53372508861847,51.210249096965754,0.9919003127097004
750,random_5fold,ElasticNet,5,1050,0.4725265514404381,0.039580190127543956,144.19416988540925,7.01867404417932,96.2237901000153,5.288758819667636,0.533796819494851
750,random_5fold,RandomForest,5,1050,0.6417093904382944,0.09268144594249488,118.20719898321924,18.13833547483458,70.32859374697,7.859780487466089,0.9500890783350782
750,random_5fold,XGBoost,5,1050,0.6406778677224416,0.11743366853330911,117.84060876559575,23.103501912855194,71.28289686567594,9.684423423849873,0.9989814726499441
750,spatial_kmeans_leave_one_out,ElasticNet,4,1050,-0.7045658185202992,0.8708245547727114,172.52248433202902,76.96739366876362,124.82280225051613,49.78950212623709,0.5379105630208723
750,spatial_kmeans_leave_one_out,RandomForest,4,1050,-0.08849265182179325,0.5382746710339021,143.23888958449567,71.86196044549604,96.47373801300537,51.28558512372686,0.9458912699190989
750,spatial_kmeans_leave_one_out,XGBoost,4,1050,-0.2774429363919949,0.4775184378789116,154.33705467414254,67.96959586284122,100.63610402675285,51.36254641922139,0.99917424558658
1000,random_5fold,ElasticNet,5,648,0.41349628946799316,0.08921994581843264,152.74774728070165,47.72225136232217,97.86197881566288,12.484850746885874,0.4989612363584695
1000,random_5fold,RandomForest,5,648,0.62072193727058,0.17050656348577678,124.06485882071506,61.20638789063676,69.62192846055797,14.595244242488295,0.9375946709288122
1000,random_5fold,XGBoost,5,648,0.6238798277817004,0.1777206330768617,122.96235946280144,61.847004666972865,66.4876659469611,15.002070870212822,0.9997528035759619
1000,spatial_kmeans_leave_one_out,ElasticNet,4,648,-0.6299339067496698,0.9011203525550462,175.5409160588079,94.22387955118882,121.20469597197958,52.65415425018915,0.505752072553824
1000,spatial_kmeans_leave_one_out,RandomForest,4,648,-0.04717460585568897,0.5254812130524679,150.87042881816134,93.12713513611665,98.30802519148415,54.37811191399701,0.9286088730216228
1000,spatial_kmeans_leave_one_out,XGBoost,4,648,-0.8123672518103556,0.9866574761700783,175.69001274621496,80.04413739549629,102.49605406789732,51.01042483303717,0.9997611150104955
