spatial_block,n_samples,target_mean,target_std,target_min,target_max,grid_size_m
0,193,289.7567735625684,128.73943931819346,64.724162225,895.0093929670732,1000
1,151,456.4710504858222,323.18571529176336,55.72222333,2605.0725,1000
2,142,206.8163802373633,74.61743253669236,1.2222222,640.5338598605352,1000
3,162,205.1442108328593,94.4904011277379,6.73412707,832.07692,1000
0,320,287.40730134664045,142.19169763495356,5.22,948.1,750
1,248,458.83961202549614,295.2134848010735,55.72222333,1544.3846,750
2,233,210.97882012385662,76.9320574148538,49.138890165,645.8381089637404,750
3,249,205.4841519837784,90.35480526206575,10.714285665,832.07692,750
0,646,294.4369078538008,149.06731703234607,2.6,1122.7227265961703,500
1,507,475.2113931041794,330.9845002155635,36.4545462,2605.0725,500
2,472,214.80542822880676,86.61528475598594,1.2222222,846.6888173957894,500
3,472,209.09045971079107,92.19233864880934,6.73412707,832.07692,500
0,2091,302.15985059431847,154.68981793943252,0.76923077,1347.799253333,250
1,1750,478.9371748036465,336.78885488568545,0.04166667,2605.0725,250
2,1637,218.2953238281602,101.5288253693558,0.08333333,1109.0228967773332,250
3,1423,211.47213416757526,92.83853309212977,6.73412707,1132.8784733333334,250
