validation,feature_set,cnn_source,target_mode,fold,R2,RMSE,MAE,train_R2,inner_best_R2_fit_scale,selected_pca_variance,n_pca_components,best_params,pretraining
random_5fold,Tabular + CNN,ImageNet ResNet50,raw,1,0.6940260104230129,106.44998111775746,63.50636250052737,0.842076475285377,0.6311177851565192,0.7,37.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.1, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 20, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.7}",ImageNet
random_5fold,Tabular + CNN,ImageNet ResNet50,raw,2,0.6575605955060028,121.87197716798578,73.35649334678338,0.9995838120321524,0.6231304977567979,0.7,36.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.05, ""model__learning_rate"": 0.08, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 1200, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 3, ""model__subsample"": 1.0, ""preprocessor__cnn__pca__n_components"": 0.7}",ImageNet
random_5fold,Tabular + CNN,ImageNet ResNet50,raw,3,0.5847574514641358,151.44069457289578,71.16208835001336,0.9954567758203585,0.6833000090007904,0.75,54.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 10, ""model__subsample"": 0.75, ""preprocessor__cnn__pca__n_components"": 0.75}",ImageNet
random_5fold,Tabular + CNN,ImageNet ResNet50,raw,4,0.7126540196474674,123.51723909659627,74.46799659028251,0.9591408188222068,0.6194451780041111,0.7,36.0,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 800, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 10, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.7}",ImageNet
random_5fold,Tabular + CNN,ImageNet ResNet50,raw,5,0.6638640672086547,129.39207673997407,72.67447342473747,0.9735113596669696,0.6845274782576162,0.7,36.0,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.05, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 1200, ""model__reg_alpha"": 0, ""model__reg_lambda"": 1, ""model__subsample"": 0.9, ""preprocessor__cnn__pca__n_components"": 0.7}",ImageNet
spatial_kmeans_leave_one_out,Tabular + CNN,ImageNet ResNet50,raw,1,-0.44209098818371495,108.21983116623865,71.46095479764978,0.8962596356927959,0.35067767267852473,0.85,114.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.25, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 10, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.85}",ImageNet
spatial_kmeans_leave_one_out,Tabular + CNN,ImageNet ResNet50,raw,2,0.34832892420274375,117.74091390725914,78.83385601036977,0.9998191753521168,-0.09649275738050427,0.9,192.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.25, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 800, ""model__reg_alpha"": 1, ""model__reg_lambda"": 5, ""model__subsample"": 1.0, ""preprocessor__cnn__pca__n_components"": 0.9}",ImageNet
spatial_kmeans_leave_one_out,Tabular + CNN,ImageNet ResNet50,raw,3,0.41864799086057003,65.95352334638935,44.96027944460932,0.8647289929886036,0.0807095156545435,0.75,55.0,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 1200, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 5, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.75}",ImageNet
spatial_kmeans_leave_one_out,Tabular + CNN,ImageNet ResNet50,raw,4,0.21773322770539194,289.0212097404638,179.64491134985442,0.9584819655363762,0.2359788967361649,0.7,35.0,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 800, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 10, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.7}",ImageNet
random_5fold,Tabular + CNN,Satlas ResNet50,raw,1,0.7076472967670252,104.05354745911431,61.92174419876832,0.871225460263621,0.6229604458129548,0.85,43.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.25, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 10, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.85}",Satlas
random_5fold,Tabular + CNN,Satlas ResNet50,raw,2,0.6883892882399638,116.2567504158885,70.43597603195309,0.9341039076044181,0.6121333163408217,0.9,82.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.25, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 5, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.9}",Satlas
random_5fold,Tabular + CNN,Satlas ResNet50,raw,3,0.5260314481201649,161.79549772573617,72.29885909048217,0.9934895444684929,0.6912446484350244,0.75,16.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 10, ""model__subsample"": 0.75, ""preprocessor__cnn__pca__n_components"": 0.75}",Satlas
random_5fold,Tabular + CNN,Satlas ResNet50,raw,4,0.6497941922769194,136.35990327472467,75.16592437161208,0.9632506295622606,0.5925201145944922,0.8,25.0,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 1200, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 3, ""model__subsample"": 0.75, ""preprocessor__cnn__pca__n_components"": 0.8}",Satlas
random_5fold,Tabular + CNN,Satlas ResNet50,raw,5,0.6568783855067548,130.7296960022018,75.62252209283076,0.9774351519998838,0.6468699912540395,0.75,16.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.1, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 800, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 5, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.75}",Satlas
spatial_kmeans_leave_one_out,Tabular + CNN,Satlas ResNet50,raw,1,-0.34176608200815184,104.38760301211155,68.60501822116287,0.8830576602643802,0.3199418376599638,0.85,40.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.25, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 10, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.85}",Satlas
spatial_kmeans_leave_one_out,Tabular + CNN,Satlas ResNet50,raw,2,0.2913591699267235,122.77961454372648,80.68861341007532,0.9996032537290555,-0.20000161834787397,0.9,77.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.25, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 800, ""model__reg_alpha"": 1, ""model__reg_lambda"": 5, ""model__subsample"": 1.0, ""preprocessor__cnn__pca__n_components"": 0.9}",Satlas
spatial_kmeans_leave_one_out,Tabular + CNN,Satlas ResNet50,raw,3,0.497905754414933,61.2930219987248,43.05112227699261,0.7329364887762719,0.015302300736992716,0.8,31.0,"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.05, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 500, ""model__reg_alpha"": 1, ""model__reg_lambda"": 10, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.8}",Satlas
spatial_kmeans_leave_one_out,Tabular + CNN,Satlas ResNet50,raw,4,0.08783839191979426,312.09597476349234,196.04864684835104,0.7574819433167419,0.15100836412491522,0.85,38.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 10, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.85}",Satlas
random_5fold,Tabular + CNN,SSL4EO-S12 ResNet50,raw,1,0.6975901149989404,105.82817958168164,63.14953141734843,0.829090484480518,0.6274999514642793,0.7,7.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.1, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 20, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.7}",SSL4EO-S12
random_5fold,Tabular + CNN,SSL4EO-S12 ResNet50,raw,2,0.6851118586977258,116.86652834647,70.5542519580467,0.9992511422957178,0.6398875711127442,0.9,34.0,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 800, ""model__reg_alpha"": 0, ""model__reg_lambda"": 5, ""model__subsample"": 0.75, ""preprocessor__cnn__pca__n_components"": 0.9}",SSL4EO-S12
random_5fold,Tabular + CNN,SSL4EO-S12 ResNet50,raw,3,0.5735170211172228,153.47672396069703,73.62634223695254,0.9920601727637536,0.6872918219675381,0.75,9.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 10, ""model__subsample"": 0.75, ""preprocessor__cnn__pca__n_components"": 0.75}",SSL4EO-S12
random_5fold,Tabular + CNN,SSL4EO-S12 ResNet50,raw,4,0.6649387739837224,133.37889008805783,74.96959146311863,0.7959937491495729,0.6009643074869221,0.85,20.0,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 10, ""model__subsample"": 0.6, ""preprocessor__cnn__pca__n_components"": 0.85}",SSL4EO-S12
