observed_decile,n_grids,observed_mean,predicted_mean,mean_residual,MAE
"(1.221, 138.702]",210,104.08987157436147,197.8212102285714,-93.731338433079,94.81830132066946
"(138.702, 168.099]",210,154.99451440234324,198.9218659809524,-43.927351369722416,49.57391612071821
"(168.099, 188.757]",209,178.27212282516106,196.52197822966508,-18.24985516071383,28.36171259277333
"(188.757, 206.743]",210,197.82044909029975,212.5975520952381,-14.777102818647412,34.144090878333934
"(206.743, 227.816]",210,217.10598611928066,231.48494747619046,-14.378961484944156,38.90922822657897
"(227.816, 255.504]",209,240.15436146356996,248.7875135645933,-8.633152050314541,40.94782460143092
"(255.504, 300.574]",210,277.77680913033464,281.19320442857145,-3.4163951136432424,52.972334839009704
"(300.574, 388.217]",209,337.987504876484,334.6202846172249,3.367219842304358,78.23755352606877
"(388.217, 572.869]",210,463.80117050279006,444.31740704761904,19.48376393017567,92.88123279826458
"(572.869, 2605.072]",210,837.3957427488497,663.2525942857143,174.14314904535277,211.35881509244535
