feature,mean_abs_shap
building_area_mean,49.24486
building_count,24.429739
NDVI,23.902246
road_density,21.637468
building_area_std,19.074837
pop_density_km2,14.357242
B11_max,12.967265
B02_max,12.224082
NDBI,11.820151
NTL_mean,11.204006
B08_mean,10.631541
B11_mean,9.872489
B02_std,9.860283
NTL_max,9.493008
B11_std,7.2500954
B04_mean,7.1860194
B03_std,6.862751
building_coverage,6.6219196
dist_economic_poi,6.5016484
B08_std,5.993436
dist_social_poi,5.978634
B04_std,5.7944727
B08_max,5.130587
road_length_major,5.116199
poi_social_count,4.497603
B02_mean,4.2900496
B03_mean,3.933271
B04_max,3.8637736
dist_major_road,3.8592217
road_count,3.6445553
area_m2,3.1754076
major_road_ratio,3.0160117
B03_max,2.9718413
poi_shannon,2.4500792
poi_economic_count,2.3333354
poi_other_count,1.3687067
